DateTime	Parking Sant Boi de Llobregat plazas totales	Parking Quatre Camins plazas totales	Parking Prat del Ll. plazas totales	Parking Martorell FGC plazas totales	Parking Sant Quirze FGC plazas totales	Parking Vilanova Renfe plazas totales	Parking Granollers Renfe plazas totales	Parking Mollet Renfe plazas totales	Parking Sant Sadurní Renfe plazas totales	Cerdanyola Universitat Renfe plazas totales
01/01/2020 0:00		107,7378322	462			425,5705639		244	221,0132	68,40574036
01/01/2020 0:30		106,9062389	462			425,0122716		244	221,0132	67,26972245
01/01/2020 1:00		106,5981128	462			425,566		244	220,1313676	66,7614765
01/01/2020 1:30		107	462			424,6528307		244	220,0266	66,405
01/01/2020 2:00		107	462			423,9715068		244	220,0266	66,405
01/01/2020 2:30		107	462			424,3880687		244	220,0266	66,405
01/01/2020 3:00		106,9849961	462			423,9601091		244	220,0266	65,9684104
01/01/2020 3:30		107	462			423,135903		244	220,0266	65,17981194
01/01/2020 4:00		107	462			422,48		244	220,0266	64,3894
01/01/2020 4:30		107	462			423,4245292		244	220,0266	64,00415437
01/01/2020 5:00		106,2341422	462			424,4671978		244	220,0266	64,3738
01/01/2020 5:30		106	462			423,3727818		244	220,0266	64,3738
01/01/2020 6:00		106,5582633	462			422,1470582		244	220,0266	64,3738
01/01/2020 6:30		107,52517	462			421,8206546		244	220,0266	64,3738
01/01/2020 7:00		107,9434006	462			421,3651376		244	220,0266	64,32363261
01/01/2020 7:30		108,471505	462			420,7951829		244	220,4967515	64,2412936
01/01/2020 8:00		108,6203778	462			420,2518664		244	221,0668	64,3426
01/01/2020 8:30		110,3804744	462			420,1704		244	220,9747864	64,3426
01/01/2020 9:00		112	462			420,1704		244	220,1107474	64,3426
01/01/2020 9:30		112	462			420,0187287		244	220,0787737	64,3426
01/01/2020 10:00		112	462			418,9286797		244	219,6333857	64,3426
01/01/2020 10:30		111,8113122	462			417,4460344		244	217,8550195	63,03716473
01/01/2020 11:00		112	462			417,1188		244	218,1107841	64,17664436
01/01/2020 11:30		111,732515	462			415,9713268		244	220,9495576	63,97460686
01/01/2020 12:00		111,2190933	462			414,2811329		244	219,938407	64,2958
01/01/2020 12:30		112,23091	462			411,9385271		244	220,0392083	63,91200065
01/01/2020 13:00		111,2384661	462			408,8220509		244	216,5301302	63,6325697
01/01/2020 13:30		110,3957483	462			410,4633546		244	216,2274223	63,38437107
01/01/2020 14:00		109,3029917	462			412,4823007		244	217,4474722	63,05101631
01/01/2020 14:30		109,7516578	462			413,0674796		244	218,5894	63,46887641
01/01/2020 15:00		109,8412344	462			410,7487993		244	219,6326759	64,08771804
01/01/2020 15:30		110,1529083	462			409,4824		244	220,643	64,171
01/01/2020 16:00		110,3139789	462			408,9541425		244	219,766915	62,1262282
01/01/2020 16:30		110,6180556	462			408,6632004		244	219,357371	60,93242135
01/01/2020 17:00		110,5655772	462			408,7254508		244	218,9271626	59,7938084
01/01/2020 17:30		111,0216828	462			408,4174896		244	219,7238107	59,48690104
01/01/2020 18:00		110,8021544	462			410,997685		244	219,4871919	60,015
01/01/2020 18:30		113,6681761	462			410,988822		244	219,8172	59,56945963
01/01/2020 19:00		112,6371506	462			411,4936284		244	221,2665112	59,87827926
01/01/2020 19:30		112,3480417	462			410,8979446		244	222,5806396	59,46426727
01/01/2020 20:00		114,282915	462			411,3167698		244	224,5060905	58,9136
01/01/2020 20:30		115,0471467	462			411,5774952		244	230,2380606	58,9136
01/01/2020 21:00		114,19136	462			412,5957855		244	231,5148015	58,89935095
01/01/2020 21:30		114,3501322	462			413,7688654		244	232,112	58,67334969
01/01/2020 22:00		113,3116172	462			412,9258666		244	236,5635062	60,82
01/01/2020 22:30		113,8124717	462			414,768781		244	237	60,21098103
01/01/2020 23:00		113,9563461	462			414,9131163		244	237	60,8044
01/01/2020 23:30		114,7760983	462			418,3922197		244	237	61,22563796
02/01/2020 0:00		114,6514806	462			420,2402195		244	237	61,7966
02/01/2020 0:30		114,7982283	462			421,5364		244	237	61,7966
02/01/2020 1:00		114,6526278	462			422,8378789		244	237	61,7966
02/01/2020 1:30		115	462			424,4848		244	237	61,7966
02/01/2020 2:00		115	462			424,420425		244	237	61,7966
02/01/2020 2:30		115	462			424,4504		244	237	61,7966
02/01/2020 3:00		115	462			424,4504		244	237	61,7966
02/01/2020 3:30		115	462			424,4504		244	237	61,7966
02/01/2020 4:00		115	462			423,9670678		244	237	61,7966
02/01/2020 4:30		114,9501878	462			416,8592189		244	237	61,7966
02/01/2020 5:00		114,3321983	462			413,7512033		244	237	61,7966
02/01/2020 5:30		113,9292111	462			410,0869454		244	233,2460603	62,28258368
02/01/2020 6:00		111,2036111	462			403,5049124		244	224,3508797	61,54989489
02/01/2020 6:30		104,0803217	462			388,9695708		244	212,0515359	58,39694799
02/01/2020 7:00		83,99174056	462			368,8556305		243,9770048	199,8738064	57,21705458
02/01/2020 7:30		65,644235	462			355,3779998		220,5488464	183,0300275	55,97229279
02/01/2020 8:00		49,03254167	462			341,9943955		191,8448896	169,5477908	55,97381879
02/01/2020 8:30		35,72337556	461,6202728			334,4040924		171,0460369	162,4407182	54,46804091
02/01/2020 9:00		29,83453	452,6399256			334,8073576		159,5158412	154,8291173	52,98863614
02/01/2020 9:30		28,00306667	449,8097839			331,6546885		154,6293987	151,2465474	53,05886349
02/01/2020 10:00		24,64352111	446,2602906			326,6808123		149,7287022	146,7575949	52,72267516
02/01/2020 10:30		20,54101778	444,4021278			322,4895772		147,7924011	143,0346457	51,08272923
02/01/2020 11:00		15,85068611	439,4313133			321,3320267		144,6447585	138,4450919	51,5859297
02/01/2020 11:30		10,29237778	439,6295494			322,2872068		141,1593319	137,7487472	48,523135
02/01/2020 12:00		8,659035556	438,8074772			321,0243323		141,806747	135,0356683	48,14860142
02/01/2020 12:30		7,258145	441,4494917			315,5171169		144,8980497	133,0731416	47,56057071
02/01/2020 13:00		7,699846667	447,0720972			312,0077832		145,0521998	129,915073	49,25306118
02/01/2020 13:30		12,26931111	445,7936761			315,0209275		142,4607292	130,8561907	49,46130309
02/01/2020 14:00		15,87368167	447,0919928			318,5990838		139,3317663	127,5319367	49,75614364
02/01/2020 14:30		13,22183333	454,9501494			323,2772314		140,7738822	131,5125922	50,79577661
